id,Gene_name,gene_biotype,Chr,Start,End,Strand,TGFb_m_av,TGFb_12h_av,TBFb_48h_av,12h_fold_change,48h_fold_change,12h_padj,48h_padj,TGFb_m_1_TPM,TGFb_m_2_TPM,TGFb_12h_1_TPM,TGFb_12h_2_TPM,TGFb_48h_1_TPM,TGFb_48h_2_TPM
ENSG00000278771,RN7SL3,misc_RNA,14,49853616,49853914,-,3311.19,2964.655,2471.21,0.895344272,0.746320809,0.00283216,2.12E-11,3484.92,3137.46,2981.49,2947.82,2490.48,2451.94
ENSG00000228253,MT-ATP8,protein_coding,MT,8366,8572,+,3275.72,3385.165,3439.02,1.033410975,1.049851636,0.831879322,0.955363099,3467.55,3083.89,3516.75,3253.58,3517.84,3360.2
ENSG00000200087,SNORA73B,snoRNA,1,28508559,28508762,+,3224.885,3380.665,3150.595,1.048305598,0.97696352,0.923929999,0.340266178,3395.56,3054.21,3440.29,3321.04,3151.31,3149.88
ENSG00000087086,FTL,protein_coding,19,48965309,48966879,+,3206.505,3286.655,1553.35,1.024996063,0.484437105,0.509729553,2.44E-128,3089.21,3323.8,3290.88,3282.43,1528.39,1578.31
ENSG00000167996,FTH1,protein_coding,11,61959718,61967634,-,2977.9,3270.41,2015.135,1.098226938,0.676696665,0.608694726,1.02E-44,2886.73,3069.07,3355.29,3185.53,1988.88,2041.39
ENSG00000111640,GAPDH,protein_coding,12,6534512,6538374,+,2793.95,2366.89,2053.985,0.847148303,0.73515453,5.57E-13,5.81E-33,2726.09,2861.81,2391.23,2342.55,2019.97,2088
ENSG00000091513,TF,protein_coding,3,133746040,133796641,+,2423.455,1848.825,1491.165,0.762888108,0.615305421,4.23E-24,2.43E-58,2339.73,2507.18,1837.46,1860.19,1448.59,1533.74
ENSG00000273542,H4C12,protein_coding,6,27831174,27831560,-,2359.07,2162.84,1169.875,0.916818916,0.495905166,0.000816068,9.08E-77,2343.69,2374.45,2196.84,2128.84,1164.08,1175.67
ENSG00000075624,ACTB,protein_coding,7,5526409,5563902,-,2303.405,2981.565,3340.2,1.29441631,1.45011407,4.76E-10,9.46E-28,2252.42,2354.39,3022.68,2940.45,3307.4,3373
ENSG00000198886,MT-ND4,protein_coding,MT,10760,12137,+,2222.155,2080.645,2278.525,0.936318574,1.025367267,0.407119517,0.68004667,2373.35,2070.96,2154.57,2006.72,2283.46,2273.59
ENSG00000203852,H3C15,protein_coding,1,149852608,149853125,+,2210.195,2227.42,988.73,1.00779343,0.447349668,0.328221005,6.23E-110,2186.19,2234.2,2261.44,2193.4,1005.31,972.15
ENSG00000288825,H2AC18,protein_coding,1,149842218,149842750,-,2137.44,1995.485,1007.145,0.93358644,0.471192174,0.00233799,4.00E-101,2120.23,2154.65,2044.39,1946.58,1016.76,997.53
ENSG00000198840,MT-ND3,protein_coding,MT,10059,10404,+,2111.365,2166.94,1976.85,1.026321834,0.93629003,0.683557738,0.020369667,2135.14,2087.59,2237.74,2096.14,2030.65,1923.05
ENSG00000212907,MT-ND4L,protein_coding,MT,10470,10766,+,1945.09,1915.135,1947.555,0.984599684,1.001267294,0.380968995,0.497574381,2047.98,1842.2,1973.95,1856.32,1938.94,1956.17
ENSG00000209582,SNORA48,snoRNA,17,7574713,7574847,+,1885.24,2042.335,2080.43,1.083328913,1.103535889,0.960908607,0.878606334,1894.29,1876.19,1930.53,2154.14,2204.5,1956.36
ENSG00000198763,MT-ND2,protein_coding,MT,4470,5511,+,1854.5,1867.095,1529.77,1.006791588,0.824896198,0.448261337,1.37E-08,1936.8,1772.2,1937.74,1796.45,1544.52,1515.02
ENSG00000140988,RPS2,protein_coding,16,1962058,1964841,-,1784.955,1574.875,764.615,0.882305156,0.428366541,3.81E-07,2.13E-158,1740.09,1829.82,1614.15,1535.6,751.73,777.5
ENSG00000200795,RNU4-1,snRNA,12,120293097,120293237,-,1780.82,2270.36,2514.655,1.274895835,1.412077021,0.477525407,0.075859272,2008.45,1553.19,2600.95,1939.77,2487.6,2541.71
ENSG00000168028,RPSA,protein_coding,3,39406716,39426255,+,1765.805,1561.475,931.185,0.884285071,0.527343053,1.20E-07,3.89E-99,1705.83,1825.78,1562.6,1560.35,925.71,936.66
ENSG00000177954,RPS27,protein_coding,1,153990762,153992155,+,1750.855,1704.325,1368.57,0.973424413,0.781658104,0.151193066,3.38E-11,1714.59,1787.12,1762.17,1646.48,1378.3,1358.84
ENSG00000112306,RPS12,protein_coding,6,132814569,132817564,+,1730.145,1588.195,883.045,0.917954853,0.510387858,0.000683392,3.11E-73,1727.86,1732.43,1585.14,1591.25,870.7,895.39
ENSG00000198888,MT-ND1,protein_coding,MT,3307,4262,+,1723.35,1628.67,1372.995,0.945060493,0.796701192,0.05298373,6.38E-09,1832.08,1614.62,1674.71,1582.63,1380.73,1365.26
ENSG00000197756,RPL37A,protein_coding,2,216498825,216579180,+,1700.5,1527.435,1018.22,0.898226992,0.59877683,0.000144049,2.35E-42,1670.66,1730.34,1543.23,1511.64,1013.26,1023.18
ENSG00000206585,RNVU1-7,snRNA,1,148038753,148038916,-,1654.795,1039.545,1333.55,0.628201681,0.805870214,0.66616123,0.576719263,1212.62,2096.97,1598.9,480.19,1090.21,1576.89
ENSG00000147403,RPL10,protein_coding,X,154389955,154409168,+,1630.315,1539.66,1124.88,0.944394181,0.68997709,0.004582961,4.74E-33,1599.75,1660.88,1518.47,1560.85,1121.25,1128.51
ENSG00000174748,RPL15,protein_coding,3,23916591,23924374,+,1598.51,1336.715,1087.1,0.83622561,0.680070816,1.10E-11,1.90E-37,1565.37,1631.65,1354.06,1319.37,1065.46,1108.74
ENSG00000270276,H4C15,protein_coding,1,149854045,149861159,-,1576.66,1098.075,724.84,0.696456433,0.459731331,0.563020699,2.42E-75,1541.97,1611.35,1525.26,670.89,727.46,722.22
ENSG00000270882,H4C14,protein_coding,1,149832657,149839767,+,1576.6,1949.635,726.495,1.236607256,0.460798554,0.73823112,6.64E-75,1544.62,1608.58,1532.11,2367.16,728.66,724.33
ENSG00000144713,RPL32,protein_coding,3,12834485,12841582,-,1548.32,1348.68,927.765,0.871060246,0.599207528,7.16E-07,9.85E-51,1508.59,1588.05,1377.3,1320.06,910.92,944.61
ENSG00000174444,RPL4,protein_coding,15,66498015,66524532,-,1491.78,1294.685,976.9,0.867879312,0.654855274,2.97E-08,4.14E-44,1464.84,1518.72,1315.8,1273.57,968.82,984.98
ENSG00000105640,RPL18A,protein_coding,19,17859910,17864153,+,1449.19,1241.815,825.705,0.856902822,0.569770009,3.86E-08,6.90E-59,1441.78,1456.6,1239.32,1244.31,815.93,835.48
ENSG00000074800,ENO1,protein_coding,1,8861000,8879190,-,1443.08,1092.345,1276.855,0.756953876,0.884812346,9.65E-27,3.55E-08,1425.62,1460.54,1105.78,1078.91,1254.32,1299.39
ENSG00000196262,PPIA,protein_coding,7,44796680,44824564,+,1355.41,1239.06,1050,0.914158815,0.774673346,0.000374687,1.20E-15,1355.89,1354.93,1252.08,1226.04,1050.51,1049.49
ENSG00000142534,RPS11,protein_coding,19,49496365,49499708,+,1345.56,1263.11,1023.575,0.938724397,0.76070558,0.006079878,1.30E-16,1304.66,1386.46,1277.13,1249.09,1019.04,1028.11
ENSG00000181163,NPM1,protein_coding,5,171387116,171411810,+,1338.255,1016.295,608.255,0.759418048,0.454513527,1.99E-23,5.37E-137,1329.36,1347.15,1017.7,1014.89,602.67,613.84
ENSG00000231500,RPS18,protein_coding,6,33272075,33276511,+,1331.385,1155.805,688.745,0.868122294,0.517314676,1.18E-06,1.75E-68,1301.56,1361.21,1153.95,1157.66,685.45,692.04
ENSG00000089157,RPLP0,protein_coding,12,120196699,120201235,-,1302.755,1167.83,721.025,0.896431025,0.553461702,4.11E-06,3.34E-77,1254.82,1350.69,1168.6,1167.06,713.24,728.81
ENSG00000105372,RPS19,protein_coding,19,41860255,41872925,+,1300.79,1164.785,827.21,0.895444307,0.635928935,0.000167564,1.71E-32,1277.6,1323.98,1158.86,1170.71,817.51,836.91
ENSG00000202538,RNU4-2,snRNA,12,120291763,120291903,-,1300.71,1690.89,1832.66,1.299974629,1.408968948,0.424686963,0.124896506,1446.87,1154.55,1751.37,1630.41,1835.12,1830.2
ENSG00000161016,RPL8,protein_coding,8,144789765,144792587,-,1294.02,1116.385,756.795,0.862726233,0.584840265,2.81E-08,4.27E-58,1284.4,1303.64,1125.9,1106.87,762.81,750.78
ENSG00000120885,CLU,protein_coding,8,27596917,27614700,-,1280.095,1086.845,928.055,0.849034642,0.724989161,4.22E-10,5.31E-28,1249.69,1310.5,1102.79,1070.9,927.37,928.74
ENSG00000084207,GSTP1,protein_coding,11,67583742,67586656,+,1260.62,1489.005,1131.39,1.18116879,0.897486951,0.025104485,6.96E-05,1202.07,1319.17,1514.32,1463.69,1130.58,1132.2
ENSG00000171858,RPS21,protein_coding,20,62387103,62388520,+,1250.305,1077.725,766.83,0.861969679,0.613314351,0.000247955,5.67E-26,1231.59,1269.02,1128.67,1026.78,781.25,752.41
ENSG00000182774,RPS17,protein_coding,15,82536750,82540459,-,1236.105,1042.84,632.845,0.843650014,0.511967025,3.83E-07,4.82E-55,1237.07,1235.14,1060.37,1025.31,647.57,618.12
ENSG00000142541,RPL13A,protein_coding,19,49487510,49493057,+,1225.76,1015.45,770.125,0.828424814,0.628283677,1.87E-12,1.52E-43,1209.94,1241.58,1018.06,1012.84,739.93,800.32
ENSG00000167526,RPL13,protein_coding,16,89560677,89564542,+,1208.37,982.025,726.125,0.812685684,0.6009128,2.44E-12,7.65E-50,1192.73,1224.01,987.16,976.89,716.7,735.55
ENSG00000135486,HNRNPA1,protein_coding,12,54280193,54287088,+,1199.105,1160.085,870.105,0.967459063,0.725628698,0.021998361,9.88E-30,1187.57,1210.64,1181.29,1138.88,868.25,871.96
ENSG00000123416,TUBA1B,protein_coding,12,49127782,49131397,-,1194.055,1288.295,797.955,1.078924338,0.668273237,0.846075321,9.27E-46,1162.69,1225.42,1293.18,1283.41,784.14,811.77
ENSG00000213741,RPS29,protein_coding,14,49570984,49599164,-,1182.365,1046.465,707.585,0.885060874,0.598448872,0.003115268,9.93E-22,1163.98,1200.75,1055.88,1037.05,723.37,691.8
ENSG00000203814,H2BC18,protein_coding,1,149782689,149812373,-,1122.555,1190,623.5,1.060081689,0.555429355,0.974960623,6.45E-45,1123.04,1122.07,1240.75,1139.25,616.49,630.51
ENSG00000163631,ALB,protein_coding,4,73397114,73421482,+,1116.48,1087.55,897.62,0.974088206,0.803973201,0.046214954,6.83E-12,1074.6,1158.36,1113.31,1061.79,850.1,945.14
ENSG00000108107,RPL28,protein_coding,19,55385932,55403250,+,1104.755,1055.725,864.05,0.955619119,0.782119112,0.030912909,2.28E-13,1103.93,1105.58,1071.93,1039.52,861.99,866.11
ENSG00000198727,MT-CYB,protein_coding,MT,14747,15887,+,1087.865,1152.23,1672.99,1.059166349,1.537865452,0.966360519,2.17E-16,1149.53,1026.2,1176.91,1127.55,1658.29,1687.69
ENSG00000108518,PFN1,protein_coding,17,4945652,4949061,-,1084.385,1261.37,1124.1,1.163212328,1.036624446,0.062510451,0.768431676,1056.29,1112.48,1290.61,1232.13,1101.67,1146.53
ENSG00000197249,SERPINA1,protein_coding,14,94376747,94390693,-,1080.055,1176.685,999.605,1.089467666,0.925513053,0.717872408,0.00030469,1049.79,1110.32,1174.06,1179.31,972.15,1027.06
ENSG00000137818,RPLP1,protein_coding,15,69452814,69456205,+,1078,950.85,645.24,0.882050093,0.598552876,4.49E-06,4.63E-36,1067.67,1088.33,947.96,953.74,605.79,684.69
ENSG00000133112,TPT1,protein_coding,13,45333471,45341284,-,1068.255,1028.705,1058.935,0.962977005,0.991275491,0.021663776,0.161460878,1048.88,1087.63,1028.15,1029.26,1072.69,1045.18
ENSG00000188846,RPL14,protein_coding,3,40457292,40468587,+,1064.43,961.615,669.06,0.903408397,0.628561765,0.000593317,3.48E-33,1020.23,1108.63,999.1,924.13,691.07,647.05
ENSG00000198918,RPL39,protein_coding,X,119786504,119791630,-,1062.605,957.985,711.82,0.901543847,0.669882035,0.002785488,3.58E-19,1047.12,1078.09,952.92,963.05,714.69,708.95
ENSG00000186468,RPS23,protein_coding,5,82273320,82278396,-,1060.71,918.015,634.725,0.865472184,0.598396357,1.77E-06,6.18E-43,1036.65,1084.77,908.79,927.24,636.33,633.12
ENSG00000198242,RPL23A,protein_coding,17,28719985,28724359,+,1057.36,920.955,554.16,0.870994742,0.524097753,7.63E-07,3.50E-68,1041.09,1073.63,923.14,918.77,540.58,567.74
ENSG00000278249,SCARNA2,scaRNA,1,109100193,109100612,+,1054.385,1014.1,1012.165,0.961792893,0.9599577,0.111348134,0.094928589,1064.05,1044.72,1017.59,1010.61,1010.51,1013.82
ENSG00000225091,SNORA71A,snoRNA,20,38427309,38427442,-,1052.31,931.28,746.665,0.884986363,0.709548517,0.633710594,0.13895044,1045.24,1059.38,937.14,925.42,720.08,773.25
ENSG00000034510,TMSB10,protein_coding,2,84905656,84906671,+,1023.535,1111.035,1753.52,1.085488039,1.713199842,0.842837713,1.84E-32,994.46,1052.61,1131.09,1090.98,1749.27,1757.77
ENSG00000197903,H2BC12,protein_coding,6,27146361,27146855,-,1023.375,992.395,502.305,0.969727617,0.490831807,0.108994227,1.34E-59,994.87,1051.88,998.49,986.3,495.18,509.43
ENSG00000286522,H3C2,protein_coding,6,26031589,26032099,-,1019.585,1006.615,485.6,0.987279138,0.476272209,0.225017196,2.14E-64,994.05,1045.12,1017.71,995.52,473.42,497.78
ENSG00000115268,RPS15,protein_coding,19,1438358,1440495,+,1014.125,944.975,631.905,0.931813139,0.623103661,0.010430255,1.54E-30,1014.1,1014.15,945.8,944.15,620.39,643.42
ENSG00000108298,RPL19,protein_coding,17,39200283,39204840,+,1011.7,894.865,629.07,0.884516161,0.621794999,7.16E-06,7.11E-42,989.38,1034.02,897.32,892.41,624.92,633.22
ENSG00000167244,IGF2,protein_coding,11,2129112,2158391,-,1006.805,1504.47,2346.875,1.49430128,2.33101246,1.36E-30,1.90E-155,988.31,1025.3,1514.97,1493.97,2282.57,2411.18
ENSG00000147604,RPL7,protein_coding,8,73290242,73295789,-,1003.04,891.805,621.69,0.88910213,0.61980579,9.44E-06,2.76E-44,982.86,1023.22,900.51,883.1,619.51,623.87
ENSG00000276966,H4C5,protein_coding,6,26204610,26205021,+,1000.22,945.585,568.1,0.945377017,0.567975045,0.048888777,1.07E-33,989.51,1010.93,941.49,949.68,559.07,577.13
ENSG00000089009,RPL6,protein_coding,12,112405189,112418838,-,992.035,865.17,595.195,0.872116407,0.599973791,4.36E-07,6.75E-52,986,998.07,875.48,854.86,592.97,597.42
ENSG00000083845,RPS5,protein_coding,19,58386400,58394806,+,991,893.05,564.43,0.901160444,0.569556004,9.08E-05,2.74E-54,962.74,1019.26,893,893.1,559.07,569.79
ENSG00000137154,RPS6,protein_coding,9,19375715,19380236,-,988.59,838.795,599.125,0.848476112,0.606039915,3.52E-09,1.13E-50,958.92,1018.26,845.15,832.44,596.37,601.88
ENSG00000008988,RPS20,protein_coding,8,56067254,56074510,-,982.54,906.63,703.23,0.922741059,0.715726586,0.006949288,6.71E-18,986.96,978.12,886.5,926.76,693.35,713.11
ENSG00000105193,RPS16,protein_coding,19,39433137,39435949,-,975.19,895.515,601.015,0.918297973,0.61630554,0.001263861,2.89E-38,958.43,991.95,892.91,898.12,599.05,602.98
ENSG00000165092,ALDH1A1,protein_coding,9,72900671,73080442,-,965.765,962.725,370.325,0.996852236,0.383452496,0.129403573,5.36E-216,947.08,984.45,961.13,964.32,364,376.65
ENSG00000142937,RPS8,protein_coding,1,44775251,44778779,+,960.705,810.615,540.495,0.843770981,0.562602464,9.17E-09,4.30E-57,953.17,968.24,813.06,808.17,537.33,543.66
ENSG00000138326,RPS24,protein_coding,10,78033760,78056813,+,958.06,786.73,543.815,0.821169864,0.567621026,3.06E-09,6.94E-45,942.61,973.51,782.86,790.6,529.89,557.74
ENSG00000065978,YBX1,protein_coding,1,42682418,42703805,+,954.51,854.235,546.135,0.894946098,0.57216268,4.55E-06,3.73E-62,938.92,970.1,864.7,843.77,555.83,536.44
ENSG00000149273,RPS3,protein_coding,11,75399515,75422280,+,938.06,837.9,551.345,0.893226446,0.587750251,4.62E-05,2.17E-46,907.2,968.92,832.5,843.3,537.72,564.97
ENSG00000142676,RPL11,protein_coding,1,23691742,23696835,+,917.93,803.59,543.58,0.875437125,0.592180232,1.36E-05,1.04E-43,916.82,919.04,820.58,786.6,540.55,546.61
ENSG00000145425,RPS3A,protein_coding,4,151099624,151104642,+,916.26,793.34,577.52,0.865845939,0.630301443,2.70E-07,1.30E-41,893.37,939.15,802.6,784.08,574.77,580.27
ENSG00000114391,RPL24,protein_coding,3,101681091,101686718,-,910.71,830.81,628.415,0.912266254,0.690027561,0.002292034,6.73E-21,912.16,909.26,842.63,818.99,620.44,636.39
ENSG00000136942,RPL35,protein_coding,9,124857880,124861981,-,907.995,775.145,478.22,0.853688622,0.526676909,1.70E-05,4.49E-43,889.25,926.74,778.38,771.91,471.89,484.55
ENSG00000170421,KRT8,protein_coding,12,52897187,52949954,-,898.655,1726.215,2320.42,1.920887326,2.582103254,1.59E-80,2.50E-193,892.46,904.85,1726.21,1726.22,2316.81,2324.03
ENSG00000145592,RPL37,protein_coding,5,40825262,40835222,-,895.845,837.985,644.115,0.935412934,0.719002729,0.011604706,1.24E-17,883,908.69,854.25,821.72,655.62,632.61
ENSG00000122026,RPL21,protein_coding,13,27251362,27256691,+,891.885,737.04,468.21,0.826384568,0.524966784,3.86E-08,5.15E-53,873.7,910.07,747.56,726.52,464.43,471.99
ENSG00000100316,RPL3,protein_coding,22,39312882,39320389,-,889.36,789.555,687.195,0.887778852,0.772684852,1.32E-06,2.11E-18,876.51,902.21,787.64,791.47,673.52,700.87
ENSG00000204628,RACK1,protein_coding,5,181236897,181248096,-,880.405,768.71,608.445,0.873132252,0.691096711,2.01E-07,1.41E-31,870.96,889.85,769.17,768.25,601.24,615.65
ENSG00000134333,LDHA,protein_coding,11,18394560,18408425,+,876.03,597.435,1073.47,0.681980069,1.225380409,1.45E-35,4.79E-05,868.93,883.13,611.33,583.54,1043.54,1103.4
ENSG00000131469,RPL27,protein_coding,17,42998273,43002959,+,874.16,744.875,491.765,0.852103734,0.562557198,4.81E-06,4.40E-40,854.4,893.92,751.99,737.76,490.38,493.15
ENSG00000172809,RPL38,protein_coding,17,74203582,74210655,+,862.18,763.905,535.995,0.886015681,0.621674128,0.002055017,2.29E-21,868.12,856.24,772.76,755.05,546.26,525.73
ENSG00000170315,UBB,protein_coding,17,16380798,16382745,+,861.18,871.035,788.735,1.011443601,0.915877052,0.412798997,0.000523187,847.7,874.66,873.98,868.09,784.73,792.74
ENSG00000111669,TPI1,protein_coding,12,6867119,6870948,+,860.975,692.085,752.625,0.803838671,0.874154302,1.89E-15,9.65E-08,843.01,878.94,692.58,691.59,742.2,763.05
ENSG00000063177,RPL18,protein_coding,19,48615328,48619184,-,857.8,774.555,507.375,0.902955234,0.591484029,0.000695493,5.14E-39,861.64,853.96,787.23,761.88,498.83,515.92
ENSG00000148303,RPL7A,protein_coding,9,133348218,133351426,+,849.695,742.37,506.285,0.873689971,0.595843214,1.67E-06,1.61E-47,822.75,876.64,746.54,738.2,506.97,505.6
ENSG00000125691,RPL23,protein_coding,17,38847860,38853764,-,846.64,713.79,478.98,0.843085609,0.565742228,3.13E-07,1.50E-44,843.68,849.6,720.95,706.63,479.18,478.78
ENSG00000265681,RPL17,protein_coding,18,49488453,49492508,-,846.425,768.21,504.19,0.907593703,0.595670024,0.000892672,5.11E-36,825.32,867.53,777.96,758.46,486.84,521.54
ENSG00000187514,PTMA,protein_coding,2,231706895,231713551,+,839.385,683.51,541.65,0.814298564,0.645293876,3.23E-13,5.67E-42,824.91,853.86,689.62,677.4,531.73,551.57
ENSG00000161970,RPL26,protein_coding,17,8377516,8383213,-,826.33,731.74,525.645,0.885529994,0.636119952,0.000244772,7.91E-27,811,841.66,730.58,732.9,525.08,526.21
ENSG00000197958,RPL12,protein_coding,9,127447674,127451406,-,810.415,688.1,426.955,0.849071155,0.526835017,7.88E-07,1.10E-52,786.04,834.79,695.9,680.3,432.05,421.86
ENSG00000198786,MT-ND5,protein_coding,MT,12337,14148,+,806.475,808.97,1102.945,1.00309371,1.367612139,0.418969337,1.04E-08,847.86,765.09,827.72,790.22,1105.53,1100.36
ENSG00000109971,HSPA8,protein_coding,11,123057489,123063230,-,795.655,825.18,495.985,1.037107792,0.623366912,0.698641605,3.87E-57,792.97,798.34,831.61,818.75,497.22,494.75
ENSG00000238917,SNORD10,snoRNA,17,7576811,7576952,+,788.54,1045.57,981.475,1.325956832,1.244673701,0.458414873,0.563630318,838.24,738.84,1015.98,1075.16,1000.75,962.2
ENSG00000243678,NME2,protein_coding,17,51165435,51171744,+,781.415,697.075,544.755,0.892067595,0.697139164,0.0002438,1.26E-20,749.4,813.43,707.16,686.99,533.9,555.61
ENSG00000233927,RPS28,protein_coding,19,8321158,8323340,+,776.34,689.785,526.35,0.888508901,0.677989025,0.000945644,2.21E-19,741.28,811.4,708.37,671.2,521.81,530.89
ENSG00000118137,APOA1,protein_coding,11,116835751,116837622,-,763.625,1043.26,633.955,1.36619414,0.830191521,1.83E-10,5.50E-09,747.66,779.59,1067.69,1018.83,613.96,653.95
ENSG00000196747,H2AC13,protein_coding,6,27808173,27808667,+,761.395,694.565,332.965,0.912226899,0.43730915,0.006573261,3.10E-56,736.84,785.95,691.62,697.51,316.6,349.33
ENSG00000171863,RPS7,protein_coding,2,3575260,3580920,+,759.925,669.63,468.39,0.881179064,0.616363457,2.75E-05,4.51E-36,747.63,772.22,676.74,662.52,471.73,465.05
ENSG00000177600,RPLP2,protein_coding,11,809965,812880,+,758.695,692.43,534.205,0.912659237,0.704110347,0.011095436,1.80E-13,735.16,782.23,684.99,699.87,547.34,521.07
ENSG00000156482,RPL30,protein_coding,8,98024851,98046469,-,758.225,697.84,528.5,0.920360051,0.697022652,0.01021739,9.22E-17,739.66,776.79,707.25,688.43,520.83,536.17
ENSG00000221983,UBA52,protein_coding,19,18571730,18577550,+,756.415,708.35,572.615,0.936456839,0.757011693,0.018420035,1.86E-12,726.18,786.65,710.29,706.41,577.98,567.25
ENSG00000241343,RPL36A,protein_coding,X,101390824,101396155,+,750.985,660.905,394.875,0.880050867,0.525809437,0.001085731,2.29E-33,747.72,754.25,655.98,665.83,408.49,381.26
ENSG00000124614,RPS10,protein_coding,6,34417454,34426069,-,744.575,635.215,454.91,0.853124266,0.610965987,1.19E-05,2.11E-31,735.88,753.27,654.65,615.78,448.36,461.46
ENSG00000287080,H3C3,protein_coding,6,26045384,26045869,+,739.925,676.985,336.645,0.914937325,0.454971788,0.010911436,2.34E-51,710.86,768.99,687.49,666.48,344.98,328.31
ENSG00000118181,RPS25,protein_coding,11,119015712,119018691,-,734.005,632.1,450.915,0.861165796,0.614321428,0.000127292,6.47E-25,732.93,735.08,645.87,618.33,455.78,446.05
ENSG00000183598,H3C13,protein_coding,1,149813225,149813693,-,733.655,625.965,276.67,0.853214386,0.377111858,7.78E-05,1.19E-67,723.06,744.25,614,637.93,261.43,291.91
ENSG00000278828,H3C10,protein_coding,6,27810051,27811300,+,730.755,699.875,338.14,0.957742335,0.462726906,0.123222529,6.63E-47,694.74,766.77,693.48,706.27,323.37,352.91
ENSG00000071082,RPL31,protein_coding,2,101002229,101024032,+,729.615,686.795,497.39,0.941311514,0.681715699,0.040361945,1.03E-17,727.31,731.92,698.83,674.76,483.41,511.37
ENSG00000092841,MYL6,protein_coding,12,56158346,56163496,+,714.78,860.98,1170.525,1.204538459,1.63760178,0.016230683,1.85E-25,691.9,737.66,880.29,841.67,1195.73,1145.32
ENSG00000164587,RPS14,protein_coding,5,150442635,150449739,-,714.015,643.005,487.92,0.900548308,0.683346989,0.000555039,1.80E-22,704.93,723.1,649.41,636.6,488.74,487.1
